EDV;TREINAMENTO;DATA AUTORIZAÇÃO;DESCRIÇÃO DO TREINAMENTO;QTD COLABORADOR;STATUS;;;
92675074;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;25/08/2020;Veículos Industriais;2;INCOMPLETO;;;
92691145;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;18/03/2022;Veículos Industriais;0;;;;
92884688;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;28/08/2022;Veículos Industriais;2;INCOMPLETO;;;
92672317;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;28/04/2023;Veículos Industriais;2;ATIVO;;;
92677660;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;22/09/2020;Veículos Industriais;0;;;;
92882387;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;27/10/2022;Veículos Industriais;1;ATIVO;;;
92861498;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;03/05/2021;Veículos Industriais;2;INCOMPLETO;;;
92887305;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;03/05/2021;Veículos Industriais;2;INCOMPLETO;;;
92896560;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;03/05/2021;Veículos Industriais;0;;;;
92674342;[BR-DDS-RVU] RECICLAGEM DE VEÍCULOS UNIFICADOS - CARRO ELÉTRICO, EMPILHADEIRA ELÉTRICA PATOLADA,;25/07/2022;Veículos Industriais;0;;;;
